target,ligand,afinidad
FUS,CHEMBL1209725,-9.1
FUS,CHEMBL505168,-8.7
FUS,CHEMBL1209719,-8.6
FUS,CHEMBL4534534,-8.5
FUS,CHEMBL1207821,-8.4
FUS,CHEMBL4531986,-8.4
FUS,CHEMBL1210592,-8.3
FUS,CHEMBL26360,-8.1
FUS,CHEMBL30550,-8.1
FUS,CHEMBL4582280,-8.1
FUS,CHEMBL49725,-8.1
FUS,CHEMBL503260,-8.1
FUS,CHEMBL501933,-8.0
FUS,CHEMBL501957,-8.0
FUS,CHEMBL503046,-8.0
FUS,CHEMBL26414,-7.9
FUS,CHEMBL4434852,-7.9
FUS,CHEMBL4435614,-7.9
FUS,CHEMBL4436366,-7.9
FUS,CHEMBL4567646,-7.9
FUS,CHEMBL4584807,-7.9
FUS,CHEMBL499445,-7.9
FUS,CHEMBL501498,-7.9
FUS,CHEMBL503615,-7.9
FUS,CHEMBL504788,-7.9
FUS,CHEMBL1187325,-7.8
FUS,CHEMBL25967,-7.8
FUS,CHEMBL27657,-7.8
FUS,CHEMBL3311273,-7.8
FUS,CHEMBL3311274,-7.8
FUS,CHEMBL4564549,-7.8
FUS,CHEMBL4567683,-7.8
FUS,CHEMBL4581289,-7.8
FUS,CHEMBL4583398,-7.8
FUS,CHEMBL4637566,-7.8
FUS,CHEMBL10183,-7.7
FUS,CHEMBL11378,-7.7
FUS,CHEMBL1162097,-7.7
FUS,CHEMBL12645,-7.7
FUS,CHEMBL1797074,-7.7
FUS,CHEMBL1797075,-7.7
FUS,CHEMBL4435466,-7.7
FUS,CHEMBL443597,-7.7
FUS,CHEMBL4531482,-7.7
FUS,CHEMBL4559959,-7.7
FUS,CHEMBL4581767,-7.7
FUS,CHEMBL4634980,-7.7
FUS,CHEMBL4634995,-7.7
FUS,CHEMBL499961,-7.7
FUS,CHEMBL500100,-7.7
FUS,CHEMBL503752,-7.7
FUS,CHEMBL1076668,-7.6
FUS,CHEMBL1206364,-7.6
FUS,CHEMBL1206388,-7.6
FUS,CHEMBL13411,-7.6
FUS,CHEMBL26958,-7.6
FUS,CHEMBL29879,-7.6
FUS,CHEMBL32492,-7.6
FUS,CHEMBL3309682,-7.6
FUS,CHEMBL36113,-7.6
FUS,CHEMBL4300098,-7.6
FUS,CHEMBL4533852,-7.6
FUS,CHEMBL4559945,-7.6
FUS,CHEMBL4574862,-7.6
FUS,CHEMBL4581476,-7.6
FUS,CHEMBL4635220,-7.6
FUS,CHEMBL4636707,-7.6
FUS,CHEMBL501014,-7.6
FUS,CHEMBL501116,-7.6
FUS,CHEMBL503143,-7.6
FUS,CHEMBL505289,-7.6
FUS,CHEMBL14887,-7.5
FUS,CHEMBL25794,-7.5
FUS,CHEMBL27721,-7.5
FUS,CHEMBL3309845,-7.5
FUS,CHEMBL3310508,-7.5
FUS,CHEMBL4435001,-7.5
FUS,CHEMBL4435685,-7.5
FUS,CHEMBL4527970,-7.5
FUS,CHEMBL4532495,-7.5
FUS,CHEMBL4564368,-7.5
FUS,CHEMBL4565007,-7.5
FUS,CHEMBL4568284,-7.5
FUS,CHEMBL4570375,-7.5
FUS,CHEMBL4571423,-7.5
FUS,CHEMBL4573886,-7.5
FUS,CHEMBL4574530,-7.5
FUS,CHEMBL4581144,-7.5
FUS,CHEMBL4584906,-7.5
FUS,CHEMBL4636771,-7.5
FUS,CHEMBL4637788,-7.5
FUS,CHEMBL4638654,-7.5
FUS,CHEMBL501686,-7.5
FUS,CHEMBL501863,-7.5
FUS,CHEMBL502720,-7.5
FUS,AVAPRITINIB,-7.4
FUS,CHEMBL1206322,-7.4
FUS,CHEMBL1207280,-7.4
FUS,CHEMBL1207502,-7.4
FUS,CHEMBL12143,-7.4
FUS,CHEMBL159567,-7.4
FUS,CHEMBL1795899,-7.4
FUS,CHEMBL24359,-7.4
FUS,CHEMBL26959,-7.4
FUS,CHEMBL27775,-7.4
FUS,CHEMBL29731,-7.4
FUS,CHEMBL31802,-7.4
FUS,CHEMBL32764,-7.4
FUS,CHEMBL3311016,-7.4
FUS,CHEMBL3311125,-7.4
FUS,CHEMBL3311270,-7.4
FUS,CHEMBL3314189,-7.4
FUS,CHEMBL3315057,-7.4
FUS,CHEMBL4435159,-7.4
FUS,CHEMBL4435351,-7.4
FUS,CHEMBL4435783,-7.4
FUS,CHEMBL4435962,-7.4
FUS,CHEMBL4529472,-7.4
FUS,CHEMBL4531016,-7.4
FUS,CHEMBL4533341,-7.4
FUS,CHEMBL4562781,-7.4
FUS,CHEMBL4563669,-7.4
FUS,CHEMBL4564119,-7.4
FUS,CHEMBL4573983,-7.4
FUS,CHEMBL4580953,-7.4
FUS,CHEMBL4585312,-7.4
FUS,CHEMBL4637430,-7.4
FUS,CHEMBL4637505,-7.4
FUS,CHEMBL4638495,-7.4
FUS,CHEMBL48876,-7.4
FUS,CHEMBL499039,-7.4
FUS,CHEMBL500915,-7.4
FUS,CHEMBL501687,-7.4
FUS,CHEMBL501973,-7.4
FUS,CHEMBL503980,-7.4
FUS,CHEMBL1163217,-7.3
FUS,CHEMBL1163605,-7.3
FUS,CHEMBL11895,-7.3
FUS,CHEMBL1210783,-7.3
FUS,CHEMBL128762,-7.3
FUS,CHEMBL13317,-7.3
FUS,CHEMBL17211,-7.3
FUS,CHEMBL20834,-7.3
FUS,CHEMBL3311114,-7.3
FUS,CHEMBL3311116,-7.3
FUS,CHEMBL3311118,-7.3
FUS,CHEMBL3311272,-7.3
FUS,CHEMBL3311275,-7.3
FUS,CHEMBL3315063,-7.3
FUS,CHEMBL3315068,-7.3
FUS,CHEMBL33331,-7.3
FUS,CHEMBL35493,-7.3
FUS,CHEMBL39647,-7.3
FUS,CHEMBL42389,-7.3
FUS,CHEMBL4435073,-7.3
FUS,CHEMBL4435102,-7.3
FUS,CHEMBL4435444,-7.3
FUS,CHEMBL4436235,-7.3
FUS,CHEMBL4530633,-7.3
FUS,CHEMBL4531080,-7.3
FUS,CHEMBL4531890,-7.3
FUS,CHEMBL4531926,-7.3
FUS,CHEMBL4532800,-7.3
FUS,CHEMBL4543576,-7.3
FUS,CHEMBL4553707,-7.3
FUS,CHEMBL4563943,-7.3
FUS,CHEMBL4564043,-7.3
FUS,CHEMBL4564225,-7.3
FUS,CHEMBL4564239,-7.3
FUS,CHEMBL4564310,-7.3
FUS,CHEMBL4568728,-7.3
FUS,CHEMBL4568823,-7.3
FUS,CHEMBL4569194,-7.3
FUS,CHEMBL4569219,-7.3
FUS,CHEMBL4571017,-7.3
FUS,CHEMBL4572621,-7.3
FUS,CHEMBL4572793,-7.3
FUS,CHEMBL4575069,-7.3
FUS,CHEMBL4580923,-7.3
FUS,CHEMBL4581275,-7.3
FUS,CHEMBL4581567,-7.3
FUS,CHEMBL4581697,-7.3
FUS,CHEMBL4581967,-7.3
FUS,CHEMBL4582617,-7.3
FUS,CHEMBL4583650,-7.3
FUS,CHEMBL46263,-7.3
FUS,CHEMBL4634989,-7.3
FUS,CHEMBL4635662,-7.3
FUS,CHEMBL4635673,-7.3
FUS,CHEMBL4635938,-7.3
FUS,CHEMBL499693,-7.3
FUS,CHEMBL500369,-7.3
FUS,CHEMBL502014,-7.3
FUS,CHEMBL502467,-7.3
FUS,CHEMBL504136,-7.3
FUS,CHEMBL10059,-7.2
FUS,CHEMBL1091702,-7.2
FUS,CHEMBL1185641,-7.2
FUS,CHEMBL1206161,-7.2
FUS,CHEMBL1206351,-7.2
FUS,CHEMBL1207696,-7.2
FUS,CHEMBL1207710,-7.2
FUS,CHEMBL1208083,-7.2
FUS,CHEMBL1210506,-7.2
FUS,CHEMBL1210899,-7.2
FUS,CHEMBL1795876,-7.2
FUS,CHEMBL1795882,-7.2
FUS,CHEMBL1900572,-7.2
FUS,CHEMBL20277,-7.2
FUS,CHEMBL21224,-7.2
FUS,CHEMBL22003,-7.2
FUS,CHEMBL24184,-7.2
FUS,CHEMBL26480,-7.2
FUS,CHEMBL26541,-7.2
FUS,CHEMBL27368,-7.2
FUS,CHEMBL27781,-7.2
FUS,CHEMBL27788,-7.2
FUS,CHEMBL29368,-7.2
FUS,CHEMBL3309842,-7.2
FUS,CHEMBL3309847,-7.2
FUS,CHEMBL3311383,-7.2
FUS,CHEMBL3311445,-7.2
FUS,CHEMBL3315067,-7.2
FUS,CHEMBL3315154,-7.2
FUS,CHEMBL33627,-7.2
FUS,CHEMBL38957,-7.2
FUS,CHEMBL40474,-7.2
FUS,CHEMBL42459,-7.2
FUS,CHEMBL42534,-7.2
FUS,CHEMBL4436383,-7.2
FUS,CHEMBL4436429,-7.2
FUS,CHEMBL4529965,-7.2
FUS,CHEMBL4530160,-7.2
FUS,CHEMBL4530658,-7.2
FUS,CHEMBL4531709,-7.2
FUS,CHEMBL4532751,-7.2
FUS,CHEMBL4533525,-7.2
FUS,CHEMBL4534423,-7.2
FUS,CHEMBL4543357,-7.2
FUS,CHEMBL4543540,-7.2
FUS,CHEMBL4559936,-7.2
FUS,CHEMBL4564275,-7.2
FUS,CHEMBL4565031,-7.2
FUS,CHEMBL4566238,-7.2
FUS,CHEMBL4568805,-7.2
FUS,CHEMBL4568877,-7.2
FUS,CHEMBL4572802,-7.2
FUS,CHEMBL4573665,-7.2
FUS,CHEMBL4574605,-7.2
FUS,CHEMBL4581253,-7.2
FUS,CHEMBL4581905,-7.2
FUS,CHEMBL4585101,-7.2
FUS,CHEMBL46150,-7.2
FUS,CHEMBL4634790,-7.2
FUS,CHEMBL4635274,-7.2
FUS,CHEMBL4635595,-7.2
FUS,CHEMBL4635845,-7.2
FUS,CHEMBL4636253,-7.2
FUS,CHEMBL4636629,-7.2
FUS,CHEMBL4637305,-7.2
FUS,CHEMBL4637764,-7.2
FUS,CHEMBL4637848,-7.2
FUS,CHEMBL4637973,-7.2
FUS,CHEMBL4638611,-7.2
FUS,CHEMBL4638713,-7.2
FUS,CHEMBL4638790,-7.2
FUS,CHEMBL4638969,-7.2
FUS,CHEMBL47866,-7.2
FUS,CHEMBL498112,-7.2
FUS,CHEMBL498331,-7.2
FUS,CHEMBL499149,-7.2
FUS,CHEMBL499227,-7.2
FUS,CHEMBL500374,-7.2
FUS,CHEMBL500744,-7.2
FUS,CHEMBL500777,-7.2
FUS,CHEMBL501280,-7.2
FUS,CHEMBL501603,-7.2
FUS,CHEMBL501777,-7.2
FUS,CHEMBL501964,-7.2
FUS,CHEMBL502154,-7.2
FUS,CHEMBL504415,-7.2
FUS,CHEMBL1162104,-7.1
FUS,CHEMBL1163325,-7.1
FUS,CHEMBL1170719,-7.1
FUS,CHEMBL1205665,-7.1
FUS,CHEMBL1206982,-7.1
FUS,CHEMBL1208089,-7.1
FUS,CHEMBL1208433,-7.1
FUS,CHEMBL1208903,-7.1
FUS,CHEMBL1210803,-7.1
FUS,CHEMBL1222580,-7.1
FUS,CHEMBL13119,-7.1
FUS,CHEMBL14758,-7.1
FUS,CHEMBL16671,-7.1
FUS,CHEMBL17760,-7.1
FUS,CHEMBL1795879,-7.1
FUS,CHEMBL1795884,-7.1
FUS,CHEMBL1807255,-7.1
FUS,CHEMBL1864057,-7.1
FUS,CHEMBL19978,-7.1
FUS,CHEMBL21221,-7.1
FUS,CHEMBL21665,-7.1
FUS,CHEMBL24317,-7.1
FUS,CHEMBL25351,-7.1
FUS,CHEMBL26041,-7.1
FUS,CHEMBL26928,-7.1
FUS,CHEMBL27509,-7.1
FUS,CHEMBL3309300,-7.1
FUS,CHEMBL3309404,-7.1
FUS,CHEMBL3309553,-7.1
FUS,CHEMBL3309685,-7.1
FUS,CHEMBL3309838,-7.1
FUS,CHEMBL3309844,-7.1
FUS,CHEMBL3310341,-7.1
FUS,CHEMBL3310476,-7.1
FUS,CHEMBL3310716,-7.1
FUS,CHEMBL3310722,-7.1
FUS,CHEMBL3310796,-7.1
FUS,CHEMBL3311015,-7.1
FUS,CHEMBL3311108,-7.1
FUS,CHEMBL3311110,-7.1
FUS,CHEMBL3311111,-7.1
FUS,CHEMBL3311113,-7.1
FUS,CHEMBL3311126,-7.1
FUS,CHEMBL3311271,-7.1
FUS,CHEMBL3311382,-7.1
